District code,District name,State,Population,Latitude,Longitude,Households_with_Internet,sex_ratio,literacy_rate
505,Nagpur,Maharashtra,4653570,21.196556862745105,79.02166176470584,57964,95.0,79.0
511,Nanded,Maharashtra,3361292,19.209316983017,77.6829048951049,7548,94.0,65.0
497,Nandurbar,Maharashtra,1648295,21.523175625248147,74.32638757443429,2579,98.0,55.0
516,Nashik,Maharashtra,6107187,20.266912871287147,74.03824168316828,45039,93.0,71.0
525,Osmanabad,Maharashtra,1657576,18.19459456066944,75.9949557531381,3209,92.0,69.0
513,Parbhani,Maharashtra,1836086,19.31032425249168,76.70163338870431,3982,95.0,63.0
521,Pune,Maharashtra,9429408,18.51696171428573,74.12922881632646,235018,91.0,76.0
528,Ratnagiri,Maharashtra,1615069,17.210195070127703,73.25725893866405,7752,112.0,74.0
531,Sangli,Maharashtra,2822143,17.154930181086502,74.70713822937628,13212,97.0,73.0
527,Satara,Maharashtra,3003741,17.6737908974359,74.18052064102558,14093,99.0,74.0
529,Sindhudurg,Maharashtra,849651,16.170948049777163,73.51329008172344,3517,104.0,78.0
526,Solapur,Maharashtra,4317756,17.837357937584812,75.42394823609216,15145,94.0,67.0
517,Thane,Maharashtra,11060148,19.698767747440268,72.79882742564581,256170,89.0,74.0
504,Wardha,Maharashtra,1300774,20.80743024390242,78.57259105691062,4313,95.0,78.0
502,Washim,Maharashtra,1197160,20.282282394366213,77.25502394366208,1875,93.0,73.0
510,Yavatmal,Maharashtra,2772348,20.04258346738159,78.05326371760479,6094,95.0,73.0
275,Bishnupur,Manipur,237399,24.507121118012428,93.8246236024845,676,100.0,66.0
280,Chandel,Manipur,144182,24.2635812987013,94.09443844155844,184,93.0,63.0
274,Churachandpur,Manipur,274143,24.30309718875504,93.38671506024085,837,97.0,71.0
272,Senapati,Manipur,479148,25.08465586034914,94.03366234413956,256,94.0,55.0
273,Tamenglong,Manipur,140651,24.98312942238265,93.49450740072204,125,94.0,60.0
276,Thoubal,Manipur,422168,24.54539255319149,93.97959893617023,880,100.0,64.0
279,Ukhrul,Manipur,183998,25.05900314960629,94.44129566929138,276,94.0,71.0
294,East Garo Hills,Meghalaya,317917,25.82728228228228,90.64684924924916,288,97.0,60.0
298,East Khasi Hills,Meghalaya,825922,25.303763888888888,91.75922519841272,5032,101.0,70.0
299,Jaintia Hills,Meghalaya,395124,25.33959557069844,92.376081601363,510,101.0,47.0
295,South Garo Hills,Meghalaya,142334,25.24056857855361,90.64560349127176,179,95.0,58.0
293,West Garo Hills,Meghalaya,643291,25.495285185185185,90.03709947089943,1630,98.0,56.0
296,West Khasi Hills,Meghalaya,383461,25.50088992673993,91.25364542124538,149,98.0,60.0
283,Aizawl,Mizoram,400309,23.90781335453101,92.85359459459472,4019,101.0,85.0
284,Champhai,Mizoram,125745,23.541665809768663,93.24221799485862,186,98.0,80.0
282,Kolasib,Mizoram,83955,24.2020004347826,92.73470391304348,367,96.0,78.0
287,Lawngtlai,Mizoram,117894,22.36102843137253,92.66964156862753,162,95.0,53.0
286,Lunglei,Mizoram,161428,23.007717036172675,92.63512555425892,482,95.0,75.0
281,Mamit,Mizoram,86364,23.73852942502819,92.4330803833147,90,93.0,70.0
288,Saiha,Mizoram,56574,22.35744801061008,93.02827931034489,168,98.0,75.0
285,Serchhip,Mizoram,64937,23.263864705882344,92.914158496732,131,98.0,84.0
265,Dimapur,Nagaland,378811,25.81417681159423,93.75074057971014,3303,92.0,73.0
270,Kohima,Nagaland,267988,25.603114285714284,93.78600657596373,1928,93.0,74.0
262,Mokokchung,Nagaland,194622,26.47891176470589,94.522426006192,537,93.0,82.0
261,Mon,Nagaland,250260,26.692073743016763,95.03072988826828,178,90.0,48.0
266,Phek,Nagaland,163418,25.632729865771815,94.56814563758392,170,95.0,65.0
267,Tuensang,Nagaland,196596,26.21104453280316,94.85809880715708,155,93.0,60.0
264,Wokha,Nagaland,166343,26.20261155115511,94.1990815181518,198,97.0,77.0
263,Zunheboto,Nagaland,140757,26.028178205128214,94.50026666666668,261,98.0,73.0
49,Amritsar,Punjab,2490656,31.54867982062777,74.79883856502238,29961,89.0,68.0
46,Bathinda,Punjab,1388525,30.190524611973352,75.05685898004437,11284,87.0,61.0
45,Faridkot,Punjab,617508,30.591187250996025,74.79751553784862,4348,89.0,62.0
